+====================+===================+==============================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                          |
+====================+===================+==============================================================================+
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_choose_req_grant_reg[0]/D                  |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_choose_req_grant_reg[1]/D                  |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_choose_req_grant_reg[2]/D                  |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine4_trccon_count_reg[3]/D         |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine4_trascon_count_reg[2]/D        |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine2_trascon_count_reg[2]/D        |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine5_trccon_count_reg[1]/D         |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine5_trascon_count_reg[2]/D        |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine2_trascon_count_reg[1]/D        |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine7_trascon_count_reg[2]/D        |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine6_trascon_count_reg[2]/D        |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine5_pipe_valid_source_valid_reg/D |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine5_trccon_count_reg[3]/D         |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine6_trascon_count_reg[1]/D        |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine2_trccon_count_reg[3]/D         |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine4_pipe_valid_source_valid_reg/D |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_choose_cmd_grant_reg[0]/D                  |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine3_trccon_count_reg[3]/D         |
| main_clkout1       | main_clkout1      | u_litedram_core/main_litedramcore_bankmachine1_trccon_count_reg[1]/D         |
